Model,Threshold,Micro-F1,Macro-F1,Micro-Prec,Micro-Rec,Macro-AUPRC,Micro-AUROC
Model A (TF-IDF + SGD),0.525,0.5952,0.5696,0.4941,0.7483,0.5741,0.925
Model B (ClinicalBERT),0.275,0.5242,0.4429,0.5247,0.5237,0.4541,0.8686
Model C v1 (Chunk+Attn),0.625,0.5305,0.5,0.4191,0.7225,0.5201,0.8938
Model C v2 (Fixed+Focal),0.05,0.5508,0.4309,0.7895,0.423,0.5567,0.9185
Model D (BiLSTM-LAAT),0.3,0.7176,0.6635,0.7171,0.7181,0.6805,0.9523
"Ensemble v1 (A+Cv1, w=0.65)",0.625,0.6249,0.5923,0.5712,0.6897,0.5921,0.9328
"Ensemble v2 (A+Cv2, w=0.35)",0.425,0.5271,0.4005,0.8107,0.3905,0.6094,0.9358
Ensemble v3 (A+Cv1+Cv2),0.4,0.5261,0.3992,0.8103,0.3895,0.6094,0.9359
"Ensemble v4 (A+D, w=0.15)",0.35,0.7198,0.6682,0.7189,0.7207,0.6895,0.9548
Ensemble v5 (A+Cv2+D),0.35,0.6943,0.6146,0.7952,0.6162,0.6847,0.9549
